atlas_id,name,domain,country,registry_scheme,hubspot_company_id,associated_contacts,registry_entity_id,grade,basis,resolved_by,notes
the-yurconic-agency,The Yurconic Agency,yurconic.com,United States,us-doi-licence,55207832972,9,,,,,
trmg-the-risk-management,"TRMG | The Risk Management Group, Inc.",trmg.net,United States,us-doi-licence,55208443177,7,,,,,
ambridge-ambridge-partners,Ambridge Group / Ambridge Partners LLC,ambridge-group.com,United States,us-doi-licence,55226530847,5,,,,,
ifc-national-marketing,IFC National Marketing,ifcnationalmarketing.com,United States,us-doi-licence,55214764147,5,,,,,
liberty-mutual-insurance,Liberty Mutual Insurance,libertymutual.com,United States,us-doi-licence,33120315150,3,,,,,
manulife,Manulife,manulife.com,Canada,ca-corp-number,31665565033,3,,,,,
canngen-insurance-services,CannGen Insurance Services,canngenins.com,United States,us-doi-licence,31727490078,2,,,,,
dtric-insurance,DTRIC Insurance,dtric.com,United States,us-doi-licence,31713031767,2,,,,,
etiqa-insurance-singapore,Etiqa Insurance Singapore,etiqa.com.sg,Singapore,UNKNOWN,31725635630,2,,,,,
insur-fi,Insur-Fi,insur-fi.com,United States,us-doi-licence,31727952195,2,,,,,
ngl-insurance,NGL Insurance,nglic.com,United States,us-doi-licence,31726097707,2,,,,,
sterling-insurance-brokers,Sterling Insurance Brokers,sterlingibl.com,Canada,ca-corp-number,31658404459,2,,,,,
agicins-com,agicins.com,agicins.com,United States,us-doi-licence,31707473795,1,,,,,
amica-mutual-insurance,Amica Mutual Insurance,amica.com,United States,us-doi-licence,33132261384,1,,,,,
ando,Ando,ando.co.nz,New Zealand,UNKNOWN,31706391115,1,,,,,
apollo-insurance-solutions-apollo-insurance-agency,APOLLO Insurance Solutions Ltd. / APOLLO Insurance Agency,apollocover.com,Canada,ca-corp-number,55228137590,1,,,,,
arabia-falcon-insurance,Arabia Falcon Insurance Company,afic.om,Oman,UNKNOWN,31727644801,1,,,,,
asp-benefits,ASP Benefits,asp-benefits.com,United States,us-doi-licence,31720421761,1,,,,,
associated-specialty-insurance-agency,Associated Specialty Insurance Agency,asiaworkerscomp.com,United States,us-doi-licence,31717070615,1,,,,,
assuredpartners,AssuredPartners,assuredpartners.com,United States,us-doi-licence,33113764945,1,,,,,
bamboo,Bamboo,bambooinsurance.com,United States,us-doi-licence,31710672666,1,,,,,
barton-mutual,Barton Mutual,bartonmutualgroup.com,United States,us-doi-licence,31715210533,1,,,,,
blue-zebra-insurance,Blue Zebra Insurance,bzi.com.au,Australia,UNKNOWN,31700177808,1,,,,,
boxx-insurance,Boxx Insurance,cyberboxx.ca,Canada,ca-corp-number,55560376403,1,,,,,
canada-life,Canada Life,gwl.ca,Canada,ca-corp-number,31654466987,1,,,,,
canada-life-reinsurance,Canada Life Reinsurance,canadalifere.com,United States,us-doi-licence,31725941668,1,,,,,
canadian-claims-services,Canadian Claims Services,canclaims.com,Canada,ca-corp-number,31666793986,1,,,,,
cayuga-mutual-insurance,Cayuga Mutual Insurance,cayugamutual.com,Canada,ca-corp-number,31701327476,1,,,,,
ccc-auto-insurance,CCC Auto Insurance,cccinsurance.com,United States,us-doi-licence,31715521860,1,,,,,
continental-general,Continental General,cgic.com,United States,us-doi-licence,31726097706,1,,,,,
couch-braunsdorf-insurance,Couch Braunsdorf Insurance,couchbraunsdorf.com,United States,us-doi-licence,31730115371,1,,,,,
covenant-underwriters,Covenant Underwriters,covenantunderwriters.com,United States,us-doi-licence,31711137873,1,,,,,
crest,CREST,crestins.com,United States,us-doi-licence,31710210172,1,,,,,
csaa,CSAA,csaa.com,United States,us-doi-licence,33114384643,1,,,,,
cyber-insurance-academy,Cyber Insurance Academy,cyberinsuranceacademy.com,Israel,UNKNOWN,31716451604,1,,,,,
cypress-dental,Cypress Dental,cypressadmin.com,United States,us-doi-licence,31722227006,1,,,,,
empire-life,Empire Life,empire.ca,Canada,ca-corp-number,31656391820,1,,,,,
erie-mutual-insurance,Erie Mutual Insurance,eriemutual.com,Canada,ca-corp-number,31647456540,1,,,,,
fedins-com,fedins.com,fedins.com,United States,us-doi-licence,33108873860,1,,,,,
frankenmuth-insurance,Frankenmuth Insurance,fmins.com,United States,us-doi-licence,31705770406,1,,,,,
fringe-benefit,Fringe Benefit Group,fbg.com,United States,us-doi-licence,31704312125,1,,,,,
gainsco,GAINSCO,gainsco.com,United States,us-doi-licence,31729184814,1,,,,,
